text,author,tags
"
      “Twenty years from now you will be more disappointed by the things that you didn't do than by the ones you did do. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.”
  ","
    H. Jackson Brown Jr.,
  ","actions,disappointed,disappointment,dream,dreams,explore,misattributed-mark-twain,sail"
"
      “It is better to be hated for what you are than to be loved for what you are not.”
  ","
    Andre Gide,
  ","life,love"
"
      “Only once in your life, I truly believe, you find someone who can completely turn your world around. You tell them things that you’ve never shared with another soul and they absorb everything you say and actually want to hear more. You share hopes for the future, dreams that will never come true, goals that were never achieved and the many disappointments life has thrown at you. When something wonderful happens, you can’t wait to tell them about it, knowing they will share in your excitement. They are not embarrassed to cry with you when you are hurting or laugh with you when you make a fool of yourself. Never do they hurt your feelings or make you feel like you are not good enough, but rather they build you up and show you the things about yourself that make you special and even beautiful. There is never any pressure, jealousy or competition but only a quiet calmness when they are around. You can be yourself and not worry about what they will think of you because they love you for who you are. The things that seem insignificant to most people such as a note, song or walk become invaluable treasures kept safe in your heart to cherish forever. Memories of your childhood come back and are so clear and vivid it’s like being young again. Colours seem brighter and more brilliant. Laughter seems part of daily life where before it was infrequent or didn’t exist at all. A phone call or two during the day helps to get you through a long day’s work and always brings a smile to your face. In their presence, there’s no need for continuous conversation, but you find you’re quite content in just having them nearby. Things that never interested you before become fascinating because you know they are important to this person who is so special to you. You think of this person on every occasion and in everything you do. Simple things bring them to mind like a pale blue sky, gentle wind or even a storm cloud on the horizon. You open your heart knowing that there’s a chance it may be broken one day and in opening your heart, you experience a love and joy that you never dreamed possible. You find that being vulnerable is the only way to allow your heart to feel true pleasure that’s so real it scares you. You find strength in knowing you have a true friend and possibly a soul mate who will remain loyal to the end. Life seems completely different, exciting and worthwhile. Your only hope and security is in knowing that they are a part of your life.”
  ","
    Bob Marley
  ",love
"
      “All that is gold does not glitter,","
    J.R.R. Tolkien,
  ","frost,glitter,gold,lost,poetry,roots,strength,strong,wander,wither"
"
      “It is our choices, Harry, that show what we truly are, far more than our abilities.”
  ","
    J.K. Rowling,
  ","abilities,choices"
"
      “The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”
  ","
    Jane Austen,
  ","aliteracy,books,classic,humor"
"
      “Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”
  ","
    Marilyn Monroe
  ","attributed-no-source,be-yourself,inspirational"
"
      “There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”
  ","
    Albert Einstein
  ","attributed-no-source,inspirational,life,live,miracle,miracles"
"
      “It does not do to dwell on dreams and forget to live.”
  ","
    J.K. Rowling,
  ","dreams,life"
"
      “Good friends, good books, and a sleepy conscience: this is the ideal life.”
  ","
    Mark Twain
  ","books,contentment,friends,friendship,life"
"
      “As he read, I fell in love the way you fall asleep: slowly, and then all at once.”
  ","
    John Green,
  ",love
"
      “We are all in the gutter, but some of us are looking at the stars.”
  ","
    Oscar Wilde,
  ","inspirational,optimism,perception,pessimism"
"
      “It is better to remain silent at the risk of being thought a fool, than to talk and remove all doubt of it.”
  ","
    Maurice Switzer,
  ","misattributed-to-abraham-lincoln,misattributed-to-mark-twain,remaining-silent,wisdom"
"
      “The fool doth think he is wise, but the wise man knows himself to be a fool.”
  ","
    William Shakespeare,
  ",wisdom
"
      “Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.”
  ","
    Neil Gaiman,
  ","books,dragons,fairy-tales,inspirational,paraphrasing-g-k-chesterton"
"
      “Whenever you find yourself on the side of the majority, it is time to reform (or pause and reflect).”
  ","
    Mark Twain
  ","individuality,majority,minority,pause,reflect,wisdom"
"
      “Life is what happens to us while we are making other plans.”
  ","
    Allen Saunders
  ","fate,life,misattributed-john-lennon,planning,plans"
"
      “Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.”
  ","
    Bill Keane
  ","attributed-no-source,hope,inspirational,misattributed-eleanor-roosevelt,past,present,widely-misattributed"
"
      “I have not failed. I've just found 10,000 ways that won't work.”
  ","
    Thomas A. Edison
  ","edison,failure,inspirational,paraphrased"
"
      “A woman is like a tea bag; you never know how strong it is until it's in hot water.”
  ","
    Eleanor Roosevelt
  ","attributed-no-source,misattributed-eleanor-roosevelt"
"
      “The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”
  ","
    Elie Wiesel
  ","activism,apathy,hate,indifference,inspirational,love,opposite,philosophy"
"
      “It is not a lack of love, but a lack of friendship that makes unhappy marriages.”
  ","
    Friedrich Nietzsche
  ","friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage"
"
      “The man who does not read has no advantage over the man who cannot read.”
  ","
    Mark Twain
  ","aliteracy,attributed-no-source,literacy"
"
      “If you don't stand for something you will fall for anything.”
  ","
    Gordon A. Eadie
  ","belief,integrity,misattributed-to-malcolm-x,misattributed-to-rosa-parks"
"
      “I may not have gone where I intended to go, but I think I have ended up where I needed to be.”
  ","
    douglas adams,
  ","life,navigation"
"
      “I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”
  ","
    Pablo Neruda,
  ","love,poetry"
"
      “I solemnly swear that I am up to no good.”
  ","
    J.K. Rowling,
  ",mischief
"
      “Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.”
  ","
    Groucho Marx,
  ","animals,books,dogs,friends,humor"
"
      “I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.”
  ","
    Albert Einstein
  ","1929,imagination,inspirational,viereck-interview"
"
      “I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”
  ","
    Dr. Seuss
  ",fantasy
"
      “Love all, trust a few, do wrong to none.”
  ","
    William Shakespeare,
  ","do-wrong,love,trust,wrong"
"
      “Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.”
  ","
    Neil Gaiman,
  ",love
"
      “A day without sunshine is like, you know, night.”
  ","
    Steve Martin
  ","humor,obvious,simile"
"
      “Never put off till tomorrow what may be done day after tomorrow just as well.”
  ","
    Mark Twain
  ","humor,procrastination"
"
      “A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”
  ","
    George R.R. Martin,
  ","read,readers,reading,reading-books"
"
      “","
    Kent M. Keith,
  ","forgiveness,goodness,happiness,honesty,kindness,misattributed-to-mother-teresa,world"
"
      “You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...”
  ","
    Dr. Seuss,
  ",inspirational
"
      “That which does not kill us makes us stronger.”
  ","
    Friedrich Nietzsche
  ","paraphrased,strength"
"
      “Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.”
  ","
    Lao Tzu
  ","courage,deeply-loved,love,strength,widely-misattributed"
"
      “It is never too late to be what you might have been.”
  ","
    George Eliot
  ","inspirational,source-unknown"
"
      “For every minute you are angry you lose sixty seconds of happiness.”
  ","
    Ralph Waldo Emerson
  ",happiness
"
      “It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”
  ","
    J.K. Rowling,
  ","courage,friends"
"
      “This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”
  ","
    Marilyn Monroe
  ","attributed-no-source,friends,heartbreak,inspirational,life,love,sisters"
"
      “I love deadlines. I love the whooshing noise they make as they go by.”
  ","
    Douglas Adams,
  ","deadlines,humor,humour,work,writing"
"
      “If you judge people, you have no time to love them.”
  ","
    Mother Teresa
  ",attributed-no-source
"
      “There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.”
  ","
    Sarah Dessen,
  ",love
"
      “My thoughts are stars I cannot fathom into constellations.”
  ","
    John Green,
  ",
"
      “If you can't explain it to a six year old, you don't understand it yourself.”
  ","
    Albert Einstein
  ","attributed-no-source,simplicity,understand"
"
      “I'm not upset that you lied to me, I'm upset that from now on I can't believe you.”
  ","
    Friedrich Nietzsche
  ","lies,lying,trust"
"
      “Love is that condition in which the happiness of another person is essential to your own.”
  ","
    Robert A. Heinlein,
  ","essential,happiness,love"
"
      “There is no greater agony than bearing an untold story inside you.”
  ","
    Maya Angelou,
  ","1970,inspirational,stories,writing"
"
      “Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”
  ","
    Garrison Keillor
  ","humor,religion"
"
      “I have always imagined that Paradise will be a kind of library.”
  ","
    Jorge Luis Borges
  ","books,library"
"
      “If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”
  ","
    Haruki Murakami,
  ","books,thought"
"
      “Everything you can imagine is real.”
  ","
    Pablo Picasso
  ","art,imagination,inspirational,life"
"
      “Women and cats will do as they please, and men and dogs should relax and get used to the idea.”
  ","
    Robert A. Heinlein
  ","cats,humor,women"
"
      “We don't see things as they are, we see them as we are.”
  ","
    Anaïs Nin
  ",
"
      “Sometimes the questions are complicated and the answers are simple.”
  ","
    Dr. Seuss
  ","attributed-no-source,life"
"
      “You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”
  ","
    Bob Marley
  ",love
"
      “Never trust anyone who has not brought a book with them.”
  ","
    Lemony Snicket,
  ","books,reading"
"
      “You love me. Real or not real?""","
    Suzanne Collins,
  ","katniss,love,peeta,suzanne-collins,the-hunger-games"
